trial,worker,game,opponent,C_PARAM,DEPTH_LIMIT,PB_WEIGHT,RAVE_K,PHASE_LATE_TURN,PHASE_LATE_LENGTH,FOOD_WEIGHT_EARLY,SPACE_WEIGHT_LATE,CENTER_WEIGHT_LATE,CORNER_WEIGHT_LATE,KILL_WEIGHT_LATE,result,survival,final_length,optuna_score
3,2,12,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.2433,6,0.774
3,2,13,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.37,14,0.193
3,2,14,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.56,12,0.8965
3,2,15,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.33,6,0.087
3,2,16,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.0933,4,0.0265
3,2,17,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.2233,6,0.071
3,2,18,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.4233,15,0.9135
3,2,19,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.5167,7,0.1275
2,4,0,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.4067,8,0.8235
2,4,1,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.1267,4,0.0315
2,4,2,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.06,5,0.034
2,4,3,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.3367,7,0.1005
2,4,4,MCTS3,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.23,7,0.7845
2,4,5,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.3633,6,0.092
2,4,6,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.1867,6,0.7655
2,4,7,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.2033,6,0.768
2,4,8,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.2533,6,0.0755
2,4,9,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.1233,7,0.7685
2,4,10,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.06,3,0.009
2,4,11,MCTS3,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,draw,0.3633,8,0.117
2,4,12,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.1567,5,0.0485
2,4,13,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.0667,5,0.035
2,4,14,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.1967,7,0.0795
2,4,15,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.3333,10,0.8375
2,4,16,MCTS3,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.7033,19,0.2555
2,4,17,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.1367,5,0.7455
2,4,18,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.18,6,0.0645
2,4,19,MCTS3,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.3367,9,0.8255
7,6,0,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.2967,7,0.0945
7,6,1,Heuristic,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.2167,6,0.07
7,6,2,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.3967,5,0.0845
7,6,3,Heuristic,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.17,5,0.0505
7,6,4,Heuristic,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.1,5,0.04
7,6,5,Vanilla,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.1067,4,0.0285
7,6,6,Vanilla,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,win,0.2533,7,0.788
7,6,7,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,win,0.2667,8,0.8025
7,6,8,Heuristic,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.23,7,0.0845
7,6,9,Heuristic,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,win,0.1933,6,0.7665
7,6,10,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.1533,6,0.0605
7,6,11,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.17,4,0.038
7,6,12,Vanilla,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.5333,8,0.1425
7,6,13,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.4633,10,0.157
7,6,14,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,loss,0.3333,8,0.1125
7,6,15,MCTS3,1.9457,20,8.2357,919.4,27,10,3.3426,1.83,2.348,5.3664,1.6921,win,0.2,7,0.78
